id,name,district,intro,hint1,hint2,hint3,fact1,fact2,fact3
154,Captain Scott’s Bungalow,Mandya,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Old bungalow associated with Tipu Sultan’s reign.,"It's a well-known attraction, popular for history tour.","Visitors flock here for history tour, architecture photography -- a well-loved spot in Mandya district.",Category: Attraction,Known for: Old bungalow associated with Tipu Sultan’s reign,"Popular activities: History tour, Architecture photography"
155,Wellesley Bridge,Mandya,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Historic stone bridge built across the Kaveri.,"It's a well-known attraction, popular for architecture study.","Visitors flock here for architecture study, photography -- a well-loved spot in Mandya district.",Category: Attraction,Known for: Historic stone bridge built across the Kaveri,"Popular activities: Architecture study, Photography"
156,Tipu Sultan’s Armor,Mandya,"Somewhere in Karnataka, this museum holds a story worth uncovering.",Museum site showing the weapons of the Mysore Tiger.,"It's a well-known museum, popular for history tour.","Visitors flock here for history tour, viewing military artifacts -- a well-loved spot in Mandya district.",Category: Museum,Known for: Museum site showing the weapons of the Mysore Tiger,"Popular activities: History tour, Viewing military artifacts"
157,Arakere Heritage,Mandya,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Traditional village known for its agricultural roots.,"It's a well-known attraction, popular for farm visits.","Visitors flock here for farm visits, rural life photography, local food tasting -- a well-loved spot in Mandya district.",Category: Attraction,Known for: Traditional village known for its agricultural roots,"Popular activities: Farm visits, Rural life photography, Local food tasting"
158,Kalaburagi Fort,Kalaburagi,"Somewhere in Karnataka, this fort holds a story worth uncovering.",14th-century Bahmani fort with a massive 29-foot cannon.,"It's a well-known fort, popular for history tour.","Visitors flock here for history tour, fort exploration, photography -- a well-loved spot in Kalaburagi district.",Category: Fort,Known for: 14th-century Bahmani fort with a massive 29-foot cannon,"Popular activities: History tour, Fort exploration, Photography"
159,Jama Masjid Gulbarga,Kalaburagi,"Somewhere in Karnataka, this fort holds a story worth uncovering.",Unique mosque built inside the fort with no open courtyard.,"It's a well-known fort, popular for architecture study.","Visitors flock here for architecture study, history tour, photography -- a well-loved spot in Kalaburagi district.",Category: Fort,Known for: Unique mosque built inside the fort with no open courtyard,"Popular activities: Architecture study, History tour, Photography"
160,Haft Gumbaz,Kalaburagi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Seven tombs of the Bahmani rulers with distinctive domes.,"It's a well-known attraction, popular for history tour.","Visitors flock here for history tour, architecture photography, sightseeing -- a well-loved spot in Kalaburagi district.",Category: Attraction,Known for: Seven tombs of the Bahmani rulers with distinctive domes,"Popular activities: History tour, Architecture photography, Sightseeing"
161,Khwaja Bande Nawaz Dargah,Kalaburagi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Shrine of the famous Sufi saint in Indo-Saracenic style.,"It's a well-known attraction, popular for pilgrimage.","Visitors flock here for pilgrimage, architecture study, attending the annual urs -- a well-loved spot in Kalaburagi district.",Category: Attraction,Known for: Shrine of the famous Sufi saint in Indo-Saracenic style,"Popular activities: Pilgrimage, Architecture study, Attending the annual Urs"
162,Sharana Basaveshwara Temple,Kalaburagi,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Historic Hindu temple dedicated to a 12th-century philosopher.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, watching traditional rituals -- a well-loved spot in Kalaburagi district.",Category: Temple,Known for: Historic Hindu temple dedicated to a 12th-century philosopher,"Popular activities: Pilgrimage, Watching traditional rituals"
163,Buddha Vihar,Kalaburagi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Sprawling Buddhist spiritual center with a grand pagoda.,"It's a well-known attraction, popular for meditation.","Visitors flock here for meditation, museum tour, photography, spiritual retreat -- a well-loved spot in Kalaburagi district.",Category: Attraction,Known for: Sprawling Buddhist spiritual center with a grand pagoda,"Popular activities: Meditation, Museum tour, Photography, Spiritual retreat"
164,Chandrampalli Dam,Kalaburagi,"Somewhere in Karnataka, this hill/viewpoint holds a story worth uncovering.",Scenic dam built across the Bhima river between two hills.,"It's a well-known hill/viewpoint, popular for boating.","Visitors flock here for boating, jungle trekking, island visits, picnic -- a well-loved spot in Kalaburagi district.",Category: Hill/Viewpoint,Known for: Scenic dam built across the Bhima river between two hills,"Popular activities: Boating, Jungle trekking, Island visits, Picnic"
165,Khoroti (Khorooti) Village,Kalaburagi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Home to the historic Sayyid Muhammad al-Husayni monument.,"It's a well-known attraction, popular for history tour.","Visitors flock here for history tour, cultural exploration -- a well-loved spot in Kalaburagi district.",Category: Attraction,Known for: Home to the historic Sayyid Muhammad al-Husayni monument,"Popular activities: History tour, Cultural exploration"
166,Sannati (Ashokan Edicts),Kalaburagi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Archaeological site with Ashokan rock edicts and Buddhist stupas.,"It's a well-known attraction, popular for archaeology study.","Visitors flock here for archaeology study, history tour, museum visit -- a well-loved spot in Kalaburagi district.",Category: Attraction,Known for: Archaeological site with Ashokan rock edicts and Buddhist stupas,"Popular activities: Archaeology study, History tour, Museum visit"
167,Chandralamba Temple (Sannati),Kalaburagi,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Ancient temple located on the banks of the Bhima river.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, river-side relaxation, architecture study -- a well-loved spot in Kalaburagi district.",Category: Temple,Known for: Ancient temple located on the banks of the Bhima river,"Popular activities: Pilgrimage, River-side relaxation, Architecture study"
168,Nagavi Ghat,Kalaburagi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Scenic riverbank area known for its peaceful environment.,"It's a well-known attraction, popular for river bathing.","Visitors flock here for river bathing, photography, picnic -- a well-loved spot in Kalaburagi district.",Category: Attraction,Known for: Scenic riverbank area known for its peaceful environment,"Popular activities: River bathing, Photography, Picnic"
169,Jivargi (Jevargi) Caves,Kalaburagi,"Somewhere in Karnataka, this cave holds a story worth uncovering.",Ancient rock-cut caves used by monks.,"It's a well-known cave, popular for cave exploration.","Visitors flock here for cave exploration, history tour, photography -- a well-loved spot in Kalaburagi district.",Category: Cave,Known for: Ancient rock-cut caves used by monks,"Popular activities: Cave exploration, History tour, Photography"
170,Brahmapur Temple,Kalaburagi,"Somewhere in Karnataka, this temple holds a story worth uncovering.",One of the oldest temples in the city area.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, viewing traditional festivals -- a well-loved spot in Kalaburagi district.",Category: Temple,Known for: One of the oldest temples in the city area,"Popular activities: Pilgrimage, Viewing traditional festivals"
171,Appa Lake,Kalaburagi,"Somewhere in Karnataka, this lake holds a story worth uncovering.",Pleasant urban lake named after Sharana Basaveshwara.,"It's a well-known lake, popular for evening walks.","Visitors flock here for evening walks, bird watching, relaxation -- a well-loved spot in Kalaburagi district.",Category: Lake,Known for: Pleasant urban lake named after Sharana Basaveshwara,"Popular activities: Evening walks, Bird watching, Relaxation"
172,Kambleshwar Temple,Kalaburagi,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Known for its unique pillars and ancient stone carvings.,"It's a well-known temple, popular for art appreciation.","Visitors flock here for art appreciation, architecture photography -- a well-loved spot in Kalaburagi district.",Category: Temple,Known for: Known for its unique pillars and ancient stone carvings,"Popular activities: Art appreciation, Architecture photography"
173,Chincholi Wildlife Sanctuary,Kalaburagi,"Somewhere in Karnataka, this wildlife sanctuary holds a story worth uncovering.",The only dry deciduous forest in North Karnataka.,"It's a well-known wildlife sanctuary, popular for trekking.","Visitors flock here for trekking, wildlife spotting, nature photography -- a well-loved spot in Kalaburagi district.",Category: Wildlife Sanctuary,Known for: The only dry deciduous forest in North Karnataka,"Popular activities: Trekking, Wildlife spotting, Nature photography"
174,Ethipotha Falls,Kalaburagi,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Scenic seasonal waterfall located in the hilly terrains.,"It's a well-known waterfall, popular for nature photography.","Visitors flock here for nature photography, picnic, short trekking -- a well-loved spot in Kalaburagi district.",Category: Waterfall,Known for: Scenic seasonal waterfall located in the hilly terrains,"Popular activities: Nature photography, Picnic, Short trekking"
175,Ganagapura Dattatreya Temple,Kalaburagi,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Major pilgrimage center at the confluence of Bhima and Amarja.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, performing religious rites, river bathing -- a well-loved spot in Kalaburagi district.",Category: Temple,Known for: Major pilgrimage center at the confluence of Bhima and Amarja,"Popular activities: Pilgrimage, Performing religious rites, River bathing"
176,Malkhed Fort,Kalaburagi,"Somewhere in Karnataka, this fort holds a story worth uncovering.",Former capital of the Rashtrakuta dynasty.,"It's a well-known fort, popular for history tour.","Visitors flock here for history tour, fort trekking, photography -- a well-loved spot in Kalaburagi district.",Category: Fort,Known for: Former capital of the Rashtrakuta dynasty,"Popular activities: History tour, Fort trekking, Photography"
177,Uttaradi Matha (Malkhed),Kalaburagi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Prominent spiritual center for Madhwa Brahmins.,"It's a well-known attraction, popular for religious visit.","Visitors flock here for religious visit, spiritual study, viewing historical manuscripts -- a well-loved spot in Kalaburagi district.",Category: Attraction,Known for: Prominent spiritual center for Madhwa Brahmins,"Popular activities: Religious visit, Spiritual study, Viewing historical manuscripts"
178,Sedam Heritage Homes,Kalaburagi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Traditional 'wadas' or mansions with intricate woodwork.,"It's a well-known attraction, popular for heritage walk.","Visitors flock here for heritage walk, architecture study, cultural photography -- a well-loved spot in Kalaburagi district.",Category: Attraction,Known for: Traditional 'wadas' or mansions with intricate woodwork,"Popular activities: Heritage walk, Architecture study, Cultural photography"
179,Yadgir Hill Fort (Nearby),Kalaburagi,"Somewhere in Karnataka, this fort holds a story worth uncovering.",Massive hill fort with unique natural rock formations.,"It's a well-known fort, popular for adventure trekking.","Visitors flock here for adventure trekking, fort exploration, viewing the city -- a well-loved spot in Kalaburagi district.",Category: Fort,Known for: Massive hill fort with unique natural rock formations,"Popular activities: Adventure trekking, Fort exploration, Viewing the city"
180,Afzalpur Dargah,Kalaburagi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Historic shrine attracting people of all faiths.,"It's a well-known attraction, popular for religious visit.","Visitors flock here for religious visit, cultural exploration -- a well-loved spot in Kalaburagi district.",Category: Attraction,Known for: Historic shrine attracting people of all faiths,"Popular activities: Religious visit, Cultural exploration"
181,Sri Revanasiddaeshwara Temple,Kalaburagi,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Famous hilltop temple with a steep stone staircase.,"It's a well-known temple, popular for uphill trekking.","Visitors flock here for uphill trekking, pilgrimage, viewpoint viewing -- a well-loved spot in Kalaburagi district.",Category: Temple,Known for: Famous hilltop temple with a steep stone staircase,"Popular activities: Uphill trekking, Pilgrimage, Viewpoint viewing"
182,Basaveshwara Statue (City Center),Kalaburagi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Massive statue of the social reformer Basavanna.,"It's a well-known attraction, popular for photography.","Visitors flock here for photography, sightseeing, city exploration -- a well-loved spot in Kalaburagi district.",Category: Attraction,Known for: Massive statue of the social reformer Basavanna,"Popular activities: Photography, Sightseeing, City exploration"
183,Gulbarga Science Centre,Kalaburagi,"Somewhere in Karnataka, this park holds a story worth uncovering.",Educational park with interactive science exhibits.,"It's a well-known park, popular for science park tour.","Visitors flock here for science park tour, educational visit, family fun -- a well-loved spot in Kalaburagi district.",Category: Park,Known for: Educational park with interactive science exhibits,"Popular activities: Science park tour, Educational visit, Family fun"
184,Sindagi (Sindagi) Fort,Kalaburagi,"Somewhere in Karnataka, this fort holds a story worth uncovering.",Lesser-known ruins of a medieval fort.,"It's a well-known fort, popular for history exploration.","Visitors flock here for history exploration, photography -- a well-loved spot in Kalaburagi district.",Category: Fort,Known for: Lesser-known ruins of a medieval fort,"Popular activities: History exploration, Photography"
185,Bhima River Banks,Kalaburagi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Wide river stretches ideal for sunset viewing.,"It's a well-known attraction, popular for sunset photography.","Visitors flock here for sunset photography, fishing, river-side walks -- a well-loved spot in Kalaburagi district.",Category: Attraction,Known for: Wide river stretches ideal for sunset viewing,"Popular activities: Sunset photography, Fishing, River-side walks"
186,Tomb of Sultan Hassan,Kalaburagi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",One of the largest and most decorative Bahmani tombs.,"It's a well-known attraction, popular for history tour.","Visitors flock here for history tour, architecture photography -- a well-loved spot in Kalaburagi district.",Category: Attraction,Known for: One of the largest and most decorative Bahmani tombs,"Popular activities: History tour, Architecture photography"
187,Aland Dargah,Kalaburagi,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Spiritual center known for the Ladle Mashak shrine.,"It's a well-known attraction, popular for pilgrimage.","Visitors flock here for pilgrimage, viewing ancient sufi architecture -- a well-loved spot in Kalaburagi district.",Category: Attraction,Known for: Spiritual center known for the Ladle Mashak shrine,"Popular activities: Pilgrimage, Viewing ancient Sufi architecture"
188,"Chennakeshava Temple, Belur",Hassan,"Somewhere in Karnataka, this temple holds a story worth uncovering.",12th-century masterpiece of Hoysala architecture.,"It's a well-known temple, popular for architecture photography.","Visitors flock here for architecture photography, history tour, pilgrimage -- a well-loved spot in Hassan district.",Category: Temple,Known for: 12th-century masterpiece of Hoysala architecture,"Popular activities: Architecture photography, History tour, Pilgrimage"
189,"Hoysaleswara Temple, Halebidu",Hassan,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Massive twin temples with intricate stone carvings.,"It's a well-known temple, popular for studying mythological reliefs.","Visitors flock here for studying mythological reliefs, photography, sightseeing -- a well-loved spot in Hassan district.",Category: Temple,Known for: Massive twin temples with intricate stone carvings,"Popular activities: Studying mythological reliefs, Photography, Sightseeing"
190,"Gomateshwara Statue, Shravanabelagola",Hassan,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",57-foot tall monolithic statue of Lord Bahubali.,"It's a well-known attraction, popular for climbing vindhyagiri hill.","Visitors flock here for climbing vindhyagiri hill, pilgrimage, panoramic viewing -- a well-loved spot in Hassan district.",Category: Attraction,Known for: 57-foot tall monolithic statue of Lord Bahubali,"Popular activities: Climbing Vindhyagiri hill, Pilgrimage, Panoramic viewing"
191,Shettihalli Rosary Church,Hassan,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Gothic-style church that remains submerged during monsoons.,"It's a well-known attraction, popular for sunset photography.","Visitors flock here for sunset photography, boat ride to the ruins, history tour -- a well-loved spot in Hassan district.",Category: Attraction,Known for: Gothic-style church that remains submerged during monsoons,"Popular activities: Sunset photography, Boat ride to the ruins, History tour"
192,Manjarabad Fort,Hassan,"Somewhere in Karnataka, this fort holds a story worth uncovering.",Star-shaped fort built by Tipu Sultan in 1792.,"It's a well-known fort, popular for fort trekking.","Visitors flock here for fort trekking, photography, enjoying views of the western ghats -- a well-loved spot in Hassan district.",Category: Fort,Known for: Star-shaped fort built by Tipu Sultan in 1792,"Popular activities: Fort trekking, Photography, Enjoying views of the Western Ghats"
193,Hasanamba Temple,Hassan,"Somewhere in Karnataka, this temple holds a story worth uncovering.","Temple dedicated to Goddess Shakti, open only during Diwali.","It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, witnessing local religious traditions -- a well-loved spot in Hassan district.",Category: Temple,"Known for: Temple dedicated to Goddess Shakti, open only during Diwali","Popular activities: Pilgrimage, Witnessing local religious traditions"
194,Gorur Dam (Hemavati Dam),Hassan,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Large reservoir on the Hemavati river with scenic views.,"It's a well-known attraction, popular for picnic.","Visitors flock here for picnic, bird watching, photography during water release -- a well-loved spot in Hassan district.",Category: Attraction,Known for: Large reservoir on the Hemavati river with scenic views,"Popular activities: Picnic, Bird watching, Photography during water release"
195,Bisle Ghat,Hassan,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Dense forest viewpoint overlooking three mountain ranges.,"It's a well-known attraction, popular for nature photography.","Visitors flock here for nature photography, trekking, wildlife spotting -- a well-loved spot in Hassan district.",Category: Attraction,Known for: Dense forest viewpoint overlooking three mountain ranges,"Popular activities: Nature photography, Trekking, Wildlife spotting"
196,"Lakshmi Devi Temple, Doddagaddavalli",Hassan,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Unique four-shrine (Chatuskuta) Hoysala temple.,"It's a well-known temple, popular for architecture study.","Visitors flock here for architecture study, photography, spiritual visit -- a well-loved spot in Hassan district.",Category: Temple,Known for: Unique four-shrine (Chatuskuta) Hoysala temple,"Popular activities: Architecture study, Photography, Spiritual visit"
197,Maharaja Park,Hassan,"Somewhere in Karnataka, this park holds a story worth uncovering.",Lush green lung of this region city with tall trees.,"It's a well-known park, popular for evening walks.","Visitors flock here for evening walks, family picnic, children's play area -- a well-loved spot in Hassan district.",Category: Park,Known for: Lush green lung of Hassan city with tall trees,"Popular activities: Evening walks, Family picnic, Children's play area"
198,"Bucheshwara Temple, Koravangala",Hassan,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Elegant 12th-century temple dedicated to Lord Shiva.,"It's a well-known temple, popular for exploring stone carvings.","Visitors flock here for exploring stone carvings, quiet meditation, photography -- a well-loved spot in Hassan district.",Category: Temple,Known for: Elegant 12th-century temple dedicated to Lord Shiva,"Popular activities: Exploring stone carvings, Quiet meditation, Photography"
199,Hulikere Pond,Hassan,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Architectural stepwell with shrines representing constellations.,"It's a well-known attraction, popular for history tour.","Visitors flock here for history tour, photography of the stone steps -- a well-loved spot in Hassan district.",Category: Attraction,Known for: Architectural stepwell with shrines representing constellations,"Popular activities: History tour, Photography of the stone steps"
200,"Ishvara Temple, Arasikere",Hassan,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Unique star-shaped Hoysala temple with complex design.,"It's a well-known temple, popular for architecture photography.","Visitors flock here for architecture photography, religious visit -- a well-loved spot in Hassan district.",Category: Temple,Known for: Unique star-shaped Hoysala temple with complex design,"Popular activities: Architecture photography, Religious visit"
201,"Jain Matt, Shravanabelagola",Hassan,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Ancient monastery housing 19th-century metal idols.,"It's a well-known attraction, popular for learning about jain history.","Visitors flock here for learning about jain history, seeking blessings, museum visit -- a well-loved spot in Hassan district.",Category: Attraction,Known for: Ancient monastery housing 19th-century metal idols,"Popular activities: Learning about Jain history, Seeking blessings, Museum visit"
202,"Kedareshwara Temple, Halebidu",Hassan,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Intricate temple known for its star-shaped base.,"It's a well-known temple, popular for studying soapstone carvings.","Visitors flock here for studying soapstone carvings, photography -- a well-loved spot in Hassan district.",Category: Temple,Known for: Intricate temple known for its star-shaped base,"Popular activities: Studying soapstone carvings, Photography"
203,"Lakshmi Narasimha Temple, Nuggehalli",Hassan,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Well-preserved temple with detailed outdoor sculptures.,"It's a well-known temple, popular for architecture study.","Visitors flock here for architecture study, pilgrimage, photography -- a well-loved spot in Hassan district.",Category: Temple,Known for: Well-preserved temple with detailed outdoor sculptures,"Popular activities: Architecture study, Pilgrimage, Photography"
204,Ramanathapura Temples,Hassan,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Cluster of temples on the banks of Cauvery (Dakshina Kashi).,"It's a well-known temple, popular for river bathing.","Visitors flock here for river bathing, temple hopping, spiritual retreat -- a well-loved spot in Hassan district.",Category: Temple,Known for: Cluster of temples on the banks of Cauvery (Dakshina Kashi),"Popular activities: River bathing, Temple hopping, Spiritual retreat"
205,Twin Temples of Mosale,Hassan,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Nageshwara & Chennakeshava temples built side-by-side.,"It's a well-known temple, popular for comparing shaiva and vaishnava architecture.","Visitors flock here for comparing shaiva and vaishnava architecture, photography -- a well-loved spot in Hassan district.",Category: Temple,Known for: Nageshwara & Chennakeshava temples built side-by-side,"Popular activities: Comparing Shaiva and Vaishnava architecture, Photography"
206,"Allalanatha Temple, Kondajji",Hassan,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Houses a 14-foot tall idol of Lord Chennakeshava.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, viewing the massive stone idol -- a well-loved spot in Hassan district.",Category: Temple,Known for: Houses a 14-foot tall idol of Lord Chennakeshava,"Popular activities: Pilgrimage, Viewing the massive stone idol"
207,Kappe Chennigaraya Temple,Hassan,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Located within the Belur complex; built by Queen Shantala.,"It's a well-known temple, popular for architecture tour.","Visitors flock here for architecture tour, religious visit -- a well-loved spot in Hassan district.",Category: Temple,Known for: Located within the Belur complex; built by Queen Shantala,"Popular activities: Architecture tour, Religious visit"
208,Chandragiri Hill,Hassan,"Somewhere in Karnataka, this hill/viewpoint holds a story worth uncovering.",Small hill with several historic Jain Bastis.,"It's a well-known hill/viewpoint, popular for trekking.","Visitors flock here for trekking, visiting chavundaraya basadi, history study -- a well-loved spot in Hassan district.",Category: Hill/Viewpoint,Known for: Small hill with several historic Jain Bastis,"Popular activities: Trekking, Visiting Chavundaraya Basadi, History study"
209,Yagachi Dam,Hassan,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Water sports hub on the Yagachi river.,"It's a well-known attraction, popular for kayaking.","Visitors flock here for kayaking, jet skiing, speed boating, picnic -- a well-loved spot in Hassan district.",Category: Attraction,Known for: Water sports hub on the Yagachi river,"Popular activities: Kayaking, Jet skiing, Speed boating, Picnic"
210,Jenukallu Betta,Hassan,"Somewhere in Karnataka, this hill/viewpoint holds a story worth uncovering.",Highest peak in the region with spectacular valley views.,"It's a well-known hill/viewpoint, popular for challenging trekking.","Visitors flock here for challenging trekking, photography, camping -- a well-loved spot in Hassan district.",Category: Hill/Viewpoint,Known for: Highest peak in the region with spectacular valley views,"Popular activities: Challenging trekking, Photography, Camping"
211,Parvathamma Betta,Hassan,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Hilltop temple dedicated to Lord Shiva and Parvati.,"It's a well-known temple, popular for adventure trekking.","Visitors flock here for adventure trekking, viewpoint viewing, pilgrimage -- a well-loved spot in Hassan district.",Category: Temple,Known for: Hilltop temple dedicated to Lord Shiva and Parvati,"Popular activities: Adventure trekking, Viewpoint viewing, Pilgrimage"
212,Gendekatte Park,Hassan,"Somewhere in Karnataka, this park holds a story worth uncovering.",Deer park and forest reserve near this region town.,"It's a well-known park, popular for wildlife viewing.","Visitors flock here for wildlife viewing, morning walks, nature photography -- a well-loved spot in Hassan district.",Category: Park,Known for: Deer park and forest reserve near Hassan town,"Popular activities: Wildlife viewing, Morning walks, Nature photography"
213,Shantala Devi Alcove,Hassan,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Artistic spot inside Halebidu temple dedicated to the Queen.,"It's a well-known temple, popular for art appreciation.","Visitors flock here for art appreciation, photography -- a well-loved spot in Hassan district.",Category: Temple,Known for: Artistic spot inside Halebidu temple dedicated to the Queen,"Popular activities: Art appreciation, Photography"
214,Basti Hill,Hassan,"Somewhere in Karnataka, this hill/viewpoint holds a story worth uncovering.",Hillock featuring several black stone Jain Bastis.,"It's a well-known hill/viewpoint, popular for archaeological exploration.","Visitors flock here for archaeological exploration, quiet contemplation -- a well-loved spot in Hassan district.",Category: Hill/Viewpoint,Known for: Hillock featuring several black stone Jain Bastis,"Popular activities: Archaeological exploration, Quiet contemplation"
215,"Yoganarasimha Swamy Temple, Gorur",Hassan,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Historic temple on the banks of the Hemavati.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, river-side relaxation, photography -- a well-loved spot in Hassan district.",Category: Temple,Known for: Historic temple on the banks of the Hemavati,"Popular activities: Pilgrimage, River-side relaxation, Photography"
216,Chavundaraya Basadi,Hassan,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Ancient Jain temple with pyramidal roof structure.,"It's a well-known temple, popular for architecture study.","Visitors flock here for architecture study, history tour -- a well-loved spot in Hassan district.",Category: Temple,Known for: Ancient Jain temple with pyramidal roof structure,"Popular activities: Architecture study, History tour"
217,"Sadasiva Temple, Nuggehalli",Hassan,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Ekamukha (single-faced) Shiva temple with Hoysala art.,"It's a well-known temple, popular for religious visit.","Visitors flock here for religious visit, art appreciation, photography -- a well-loved spot in Hassan district.",Category: Temple,Known for: Ekamukha (single-faced) Shiva temple with Hoysala art,"Popular activities: Religious visit, Art appreciation, Photography"
218,Gokarna Main Beach,Uttar_Kannada,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Famous for its temple proximity and surfing.,"It's a well-known temple, popular for swimming.","Visitors flock here for swimming, surfing, beach trekking -- a well-loved spot in Uttar_Kannada district.",Category: Temple,Known for: Famous for its temple proximity and surfing,"Popular activities: Swimming, Surfing, Beach trekking"
219,Om Beach,Uttar_Kannada,"Somewhere in Karnataka, this beach holds a story worth uncovering.",Naturally shaped like the Hindu 'Om' symbol.,"It's a well-known beach, popular for speed boating.","Visitors flock here for speed boating, trekking to nearby beaches, sunbathing -- a well-loved spot in Uttar_Kannada district.",Category: Beach,Known for: Naturally shaped like the Hindu 'Om' symbol,"Popular activities: Speed boating, Trekking to nearby beaches, Sunbathing"
220,Kudle Beach,Uttar_Kannada,"Somewhere in Karnataka, this beach holds a story worth uncovering.",Wide sandy beach popular with backpackers.,"It's a well-known beach, popular for beach yoga.","Visitors flock here for beach yoga, sunset viewing, cafe hopping -- a well-loved spot in Uttar_Kannada district.",Category: Beach,Known for: Wide sandy beach popular with backpackers,"Popular activities: Beach yoga, Sunset viewing, Cafe hopping"
221,Half Moon Beach,Uttar_Kannada,"Somewhere in Karnataka, this beach holds a story worth uncovering.",Secluded crescent-shaped beach reachable by trek.,"It's a well-known beach, popular for trekking.","Visitors flock here for trekking, camping, quiet relaxation -- a well-loved spot in Uttar_Kannada district.",Category: Beach,Known for: Secluded crescent-shaped beach reachable by trek,"Popular activities: Trekking, Camping, Quiet relaxation"
222,Paradise Beach,Uttar_Kannada,"Somewhere in Karnataka, this beach holds a story worth uncovering.",Remote rocky beach known for its hippie culture roots.,"It's a well-known beach, popular for boat transit.","Visitors flock here for boat transit, night camping, photography -- a well-loved spot in Uttar_Kannada district.",Category: Beach,Known for: Remote rocky beach known for its hippie culture roots,"Popular activities: Boat transit, Night camping, Photography"
223,Murudeshwar Temple,Uttar_Kannada,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Home to the world's second-tallest Shiva statue.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, climbing the rajagopura for sea views -- a well-loved spot in Uttar_Kannada district.",Category: Temple,Known for: Home to the world's second-tallest Shiva statue,"Popular activities: Pilgrimage, Climbing the Rajagopura for sea views"
224,Murudeshwar Beach,Uttar_Kannada,"Somewhere in Karnataka, this beach holds a story worth uncovering.",Beach adjacent to the massive Shiva shrine.,"It's a well-known beach, popular for water sports.","Visitors flock here for water sports, photography, evening walks -- a well-loved spot in Uttar_Kannada district.",Category: Beach,Known for: Beach adjacent to the massive Shiva shrine,"Popular activities: Water sports, Photography, Evening walks"
225,Netrani Island,Uttar_Kannada,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Heart-shaped island known as the 'Pigeon Island'.,"It's a well-known attraction, popular for scuba diving.","Visitors flock here for scuba diving, snorkeling, deep-sea photography -- a well-loved spot in Uttar_Kannada district.",Category: Attraction,Known for: Heart-shaped island known as the 'Pigeon Island',"Popular activities: Scuba diving, Snorkeling, Deep-sea photography"
